Star Name,Distance (pc),Image URL,Spectral Class,Center Pixel,L/L_o,Average Color
Arkab Posterior,41.13533525298232,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Arkab Posterior&format=jpg,"('F', '2', 'V')",255,3.8900000000000015,"[0.21905655034584956, 0.2967293230870042, 0.37252874668194325]"
Arkab Prior,119.35737986679716,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Arkab Prior&format=jpg,"('B', '9', 'V')",255,-14.66283156885038,"[0.22147181767726798, 0.30396147280123087, 0.38444116593251415]"
Arneb,680.2721088435375,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Arneb&format=jpg,"('F', '0', 'I')",255,28800.000000000004,"[0.3675158652273471, 0.3625504435336451, 0.3539562431449518]"
Ascella,27.041644131963224,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Ascella&format=jpg,"('A', '2.5', 'V')",255,20.971904828872415,"[0.22361065050118645, 0.3243685873457814, 0.4273798193723536]"
Asellus Australis,41.96901847056503,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Asellus Australis&format=jpg,"('K', '0', 'III')",255,50.00000000000002,"[0.27371204132471383, 0.30472885358952023, 0.3428237222102703]"
Ashlesha,39.635354736424894,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Ashlesha&format=jpg,"('G', '1', 'III')",255,29.93923632268104,"[0.32475271690925595, 0.19869499011385575, 0.08042666449132647]"
Aspidiske,234.7417840375587,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Aspidiske&format=jpg,"('A', '7', 'I')",255,29429.541680832062,"[0.2973676436711519, 0.35294619022453483, 0.409020827404908]"
Asterope,136.88691771727375,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Asterope&format=jpg,"('B', '8', 'V')",247,383.6866859166621,"[0.16645812300021906, 0.39638409742337866, 0.6268389141580611]"
Athebyne,27.99842088906185,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Athebyne&format=jpg,"('G', '8', 'III')",255,44.00000000000003,"[0.37575774277853563, 0.3286432774093474, 0.2835139396587869]"
Atik,343.6426116838488,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Atik&format=jpg,"('B', '1', 'III')",255,32015.43371869148,"[0.2961352558047789, 0.3580690314431054, 0.42045937508297965]"
Atlas,117.2332942555686,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Atlas&format=jpg,"('B', '8', 'III')",255,793.1576471739827,"[0.14509512141806907, 0.31793927625489005, 0.492372706823829]"
Atria,119.76047904191616,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Atria&format=jpg,"('K', '2', 'III')",243,67.51190476190479,"[0.42827648721565764, 0.31793998752049374, 0.2064768279884216]"
Avior,185.5287569573284,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Avior&format=jpg,"('K', '3', 'III')",238,79.00000000000003,"[0.4888557585588662, 0.3860518227610347, 0.2817770141438288]"
Axolotl,94.52153200499072,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Axolotl&format=jpg,"('G', '2', 'V')",255,1.0700000000000005,"[0.09211636085982333, 0.11224530477492574, 0.15125094475049783]"
Azelfafage,529.1005291005291,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Azelfafage&format=jpg,"('B', '3', 'III')",255,5706.0602616667165,"[0.16458204733607742, 0.19628039813052742, 0.22825012397724698]"
Azha,41.291942290381456,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Azha&format=jpg,"('K', '1', 'III')",255,58.00000000000003,"[0.3535166856111386, 0.3559816068688501, 0.35894046904246707]"
Azmidi,367.6470588235294,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Azmidi&format=jpg,"('G', '6', 'I')",255,31898.500938560064,"[0.32782076508009317, 0.2633199609962324, 0.19468701086016185]"
Barnard's Star,1.828234114153841,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Barnard's Star&format=jpg,"('M', '4', 'V')",12,0.0127476689976689,"[0.10787937080980897, 0.1275148832071747, 0.14546915865685509]"
Baten Kaitos,77.65783955890346,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Baten Kaitos&format=jpg,"('K', '0.5', 'III')",255,53.83398437500003,"[0.37319078788580917, 0.3352412604628262, 0.28953886330504625]"
Beemim,89.87148377819716,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Beemim&format=jpg,"('K', '3.5', 'III')",255,85.65299479166669,"[0.3924367288618696, 0.33981132400282327, 0.28006654812934834]"
Beid,38.29994216708733,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Beid&format=jpg,"('F', '0', 'III')",255,27.00000000000001,"[0.28602813135152333, 0.2879740898283977, 0.2917721996689795]"
Belel,120.52258593260376,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Belel&format=jpg,"('K', '0', 'III')",255,50.00000000000002,"[0.12653249801334293, 0.11150413039862504, 0.10193121546450813]"
Bellatrix,77.39938080495357,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Bellatrix&format=jpg,"('B', '2', 'V')",255,2797.2653996597364,"[0.2893597520807914, 0.4169183901155795, 0.546437980942407]"
Betelgeuse,152.67175572519085,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Betelgeuse&format=jpg,"('M', '1', 'I')",255,60368.83116883098,"[0.502044102366471, 0.38141510157188036, 0.2619110110362103]"
