,Star Name,Distance (pc),Spectral Class,Index,Luminosity Class
324,Rasalgethi,110.25358324145536,M5Ib-II+G5III+F2V:,324,I
325,Rasalhague,14.8964695367198,A5IVnn,325,IV
326,Rastaban,116.55011655011654,G2Ib-IIa,326,I
327,Regulus,24.313153415998052,B8IVn,327,IV
328,Revati,40.88391013716552,A7IV,328,IV
329,Rigel,264.55026455026456,B8Iae,329,I
330,Rigil Kentaurus,1.3458950201884252,G2V,330,V
331,Rosaliadecastro,73.37887715642175,G3V,331,V
332,Rotanev,30.93102381688834,F5IV,332,IV
333,Ruchbah,30.47851264858275,A5IV,333,IV
334,Rukbat,55.74136008918617,B8V,334,V
335,Sabik,27.0929287455974,A2IV-V,335,IV
336,Saclateni,240.96385542168676,K5II+B7V,336,II
337,Sadachbia,38.677088852876224,A0V,337,V
338,Sadalbari,34.56141563558443,G8+III,338,III
339,Sadalmelik,160.51364365971108,G2Ib,339,I
340,Sadalsuud,164.74464579901152,G0Ib,340,I
341,Sadr,561.7977528089888,F8Ib,341,I
342,Sagarmatha,49.60563520015874,G8V,342,V
343,Saiph,198.4126984126984,B0.5Ia,343,I
344,Salm,48.27536266866205,A5Vp_lB,344,V
345,Samaya,92.92903009971285,F7V,345,V
346,Sansuna,253.3120551207032,F8,346,
347,Sargas,92.08103130755065,F1III,347,III
348,Sarin,23.036166781847506,A1IVn,348,IV
349,Sceptrum,34.62975596410972,K2-IIIb,349,III
350,Scheat,60.09615384615384,M2.5II-III,350,II
351,Schedar,69.97900629811058,K0-IIIa,351,III
352,Secunda Hyadum,49.23876863687393,G9.5IIICN0.5,352,III
353,Segin,142.7816725445122,B3Vp_sh,353,V
354,Seginus,26.60989888238425,A7IV+(n),354,IV
355,Sham,130.97062328919623,G1II,355,II
356,Shama,55.011552426009466,G8/K0IV,356,IV
357,Sharjah,14.575134819997084,M3V,357,V
358,Shaula,175.13134851138355,B2IV+DA7.9,358,IV
359,Sheliak,294.9852507374631,B8.5Ib-II,359,I
360,Sheratan,17.985611510791365,kA4hA5mA5Va,360,V
361,Sika,59.96426130026504,G1V,361,V
362,Sirius,2.637061258933045,A0mA1Va,362,V
363,Situla,67.95832795329903,K1.5IIIbCN0.5,363,III
364,Skat,43.20568932517034,A3Vp,364,V
365,Solaris,49.30066999610525,K5,365,
366,Spica,76.5696784073507,B1V,366,V
367,Sterrennacht,274.2806988672207,F8V,367,V
368,Stribor,78.0579189758801,G0,368,
369,Sualocin,72.8342728954537,B9IV,369,IV
370,Subra,39.95205753096285,F8-G0III+A7m,370,III
371,Suhail,166.94490818030047,K4Ib,371,I
372,Sulafat,190.11406844106463,B9III,372,III
373,Syrma,22.237046920169004,F7III,373,III
374,Tabit,8.06842020332419,F6V,374,V
375,Taiyangshou,60.83391125549026,K0.5IIIb:,375,III
376,Taiyi,29.44059917507441,F3IV,376,IV
377,Talitha,14.509576320371446,A6,377,
378,Tangra,255.82644733812583,G3V,378,V
379,Tania Australis,56.18387859787512,M0III,379,III
380,Tania Borealis,69.15916289749228,A1IV,380,IV
381,Tapecue,32.516941326431066,G9V,381,V
